id_akun,username,password,nama_lengkap,nik,no_kk,alamat,no_hp
M001,andi123,pass123,Andi Saputra,3512345678900001,3512345678000001,Jl. Melati No.5,8123456789.0
M002,siti456,pass456,Siti Aminah,3512345678900002,3512345678000002,Jl. Kenanga No.10,8129876543.0
M003,leno,pass,Leon,8787,677,,
M004,leon,pass,Muhammad Leon,23456,12345,Racoon City Rt.21  Rw.16,911.0
M005,Siti,pass,Siti Ada Wong,23456,12345,Racoon City Rt.21  Rw.16,911.0
M006,wawan,wawan1,wawan setiawan,242410103030,141410103030,jln kenangan 5 sumeru,823338990.0
M007,chris,pass,Muhammad Chris,2455667788,123098765,Jl.Racoon City,123098989.0
M008,tatang,pass1,tatang,456,345,jln teyvat,98008765.0
M009,bowoo,pass,Bowo,12099,989665,belakang masjid,120000.0
M010,ayanaa,pass,ayana,232323,121212,bumi,090909
